gpu,fold,arm,k,regret
a6000,3,random,16,1.160517
a6000,3,random,32,1.116053
a6000,3,random,64,1.081635
a6000,3,random,128,1.061409
a6000,3,random,256,1.044828
a6000,3,random,512,1.030726
a6000,3,random,1024,1.021247
a6000,3,random,2048,1.011055
a6000,3,random,4096,1.004467
a6000,3,random_pruned,1,1.803858
a6000,3,random_pruned,2,1.497559
a6000,3,random_pruned,4,1.321362
a6000,3,random_pruned,8,1.239873
a6000,3,random_pruned,16,1.171598
a6000,3,random_pruned,32,1.123980
a6000,3,random_pruned,64,1.090753
a6000,3,random_pruned,128,1.066169
a6000,3,random_pruned,256,1.046246
a6000,3,random_pruned,512,1.031754
a6000,3,random_pruned,1024,1.020576
a6000,3,random_pruned,2048,1.009834
a6000,3,random_pruned,4096,1.003517
a6000,3,random_cond,1,2.904625
a6000,3,random_cond,2,1.913050
a6000,3,random_cond,4,1.417633
a6000,3,random_cond,8,1.248473
a6000,3,random_cond,16,1.186942
a6000,3,random_cond,32,1.137497
a6000,3,random_cond,64,1.103958
a6000,3,random_cond,128,1.076455
a6000,3,random_cond,256,1.059940
a6000,3,random_cond,512,1.047947
a6000,3,random_cond,1024,1.037889
a6000,3,random_cond,2048,1.026078
a6000,3,random_cond,4096,1.012842
a6000,3,tpe,1,1.846737
a6000,3,tpe,2,1.577971
a6000,3,tpe,4,1.404553
a6000,3,tpe,8,1.347546
a6000,3,tpe,16,1.154073
a6000,3,tpe,32,1.120217
a6000,3,tpe,64,1.076562
a6000,3,tpe,128,1.064685
a6000,3,tpe,256,1.049106
a6000,3,tpe,512,1.038252
a6000,3,tpe,1024,1.024543
a6000,3,our_rule,0,1.122691
a6000,3,vendor,0,1.062970
a6000,pooled,random,1,2.509821
a6000,pooled,random,2,1.548968
a6000,pooled,random,4,1.342058
a6000,pooled,random,8,1.244028
a6000,pooled,random,16,1.171596
a6000,pooled,random,32,1.125657
a6000,pooled,random,64,1.087639
a6000,pooled,random,128,1.063017
a6000,pooled,random,256,1.044553
a6000,pooled,random,512,1.031107
a6000,pooled,random,1024,1.021051
a6000,pooled,random,2048,1.011359
a6000,pooled,random,4096,1.004788
a6000,pooled,random_pruned,1,1.805628
a6000,pooled,random_pruned,2,1.525848
a6000,pooled,random_pruned,4,1.353723
a6000,pooled,random_pruned,8,1.255124
a6000,pooled,random_pruned,16,1.182958
a6000,pooled,random_pruned,32,1.128391
a6000,pooled,random_pruned,64,1.091893
a6000,pooled,random_pruned,128,1.064763
a6000,pooled,random_pruned,256,1.047011
a6000,pooled,random_pruned,512,1.031190
a6000,pooled,random_pruned,1024,1.020938
a6000,pooled,random_pruned,2048,1.010746
a6000,pooled,random_pruned,4096,1.004025
a6000,pooled,random_cond,1,3.810815
a6000,pooled,random_cond,2,2.040669
a6000,pooled,random_cond,4,1.426078
a6000,pooled,random_cond,8,1.274934
a6000,pooled,random_cond,16,1.198647
a6000,pooled,random_cond,32,1.142565
a6000,pooled,random_cond,64,1.102897
a6000,pooled,random_cond,128,1.077921
a6000,pooled,random_cond,256,1.058464
a6000,pooled,random_cond,512,1.045976
a6000,pooled,random_cond,1024,1.035818
a6000,pooled,random_cond,2048,1.024810
a6000,pooled,random_cond,4096,1.013207
a6000,pooled,tpe,1,1.910101
a6000,pooled,tpe,2,1.535041
a6000,pooled,tpe,4,1.408658
a6000,pooled,tpe,8,1.329183
a6000,pooled,tpe,16,1.175751
a6000,pooled,tpe,32,1.123174
a6000,pooled,tpe,64,1.083612
a6000,pooled,tpe,128,1.062496
a6000,pooled,tpe,256,1.045691
a6000,pooled,tpe,512,1.032024
a6000,pooled,tpe,1024,1.018765
a6000,pooled,our_rule,0,1.099334
a6000,pooled,vendor,0,1.081488
5090,0,random,1,1.707345
5090,0,random,2,1.238463
5090,0,random,4,1.135789
5090,0,random,8,1.089964
5090,0,random,16,1.057562
5090,0,random,32,1.037666
5090,0,random,64,1.026851
5090,0,random,128,1.019781
5090,0,random,256,1.014734
5090,0,random,512,1.011383
5090,0,random,1024,1.008413
5090,0,random,2048,1.005545
5090,0,random,4096,1.003378
5090,0,random_pruned,1,1.307760
5090,0,random_pruned,2,1.187117
5090,0,random_pruned,4,1.123210
5090,0,random_pruned,8,1.078911
5090,0,random_pruned,16,1.050490
5090,0,random_pruned,32,1.034078
5090,0,random_pruned,64,1.023368
5090,0,random_pruned,128,1.016878
5090,0,random_pruned,256,1.011882
5090,0,random_pruned,512,1.008570
5090,0,random_pruned,1024,1.006550
5090,0,random_pruned,2048,1.004467
5090,0,random_pruned,4096,1.002878
5090,0,random_cond,1,2.654274
5090,0,random_cond,2,1.425936
5090,0,random_cond,4,1.165873
5090,0,random_cond,8,1.113664
5090,0,random_cond,16,1.077345
5090,0,random_cond,32,1.054381
5090,0,random_cond,64,1.040748
5090,0,random_cond,128,1.029154
5090,0,random_cond,256,1.022809
5090,0,random_cond,512,1.016250
5090,0,random_cond,1024,1.009780
5090,0,random_cond,2048,1.006903
5090,0,random_cond,4096,1.006073
5090,0,tpe,1,1.506019
5090,0,tpe,2,1.150296
5090,0,tpe,4,1.126288
5090,0,tpe,8,1.095457
5090,0,tpe,16,1.076145
5090,0,tpe,32,1.050530
5090,0,tpe,64,1.032367
5090,0,tpe,128,1.020981
5090,0,tpe,256,1.015522
5090,0,tpe,512,1.010770
5090,0,tpe,1024,1.006462
5090,0,our_rule,0,1.030533
5090,0,vendor,0,1.188110
5090,1,random,1,1.749520
5090,1,random,2,1.293746
5090,1,random,4,1.179997
5090,1,random,8,1.107724
5090,1,random,16,1.076086
5090,1,random,32,1.047472
5090,1,random,64,1.028619
5090,1,random,128,1.020571
5090,1,random,256,1.014511
5090,1,random,512,1.011289
5090,1,random,1024,1.008790
5090,1,random,2048,1.006690
5090,1,random,4096,1.004017
5090,1,random_pruned,1,1.396850
5090,1,random_pruned,2,1.253429
5090,1,random_pruned,4,1.170437
5090,1,random_pruned,8,1.107099
5090,1,random_pruned,16,1.073713
5090,1,random_pruned,32,1.045964
5090,1,random_pruned,64,1.029891
5090,1,random_pruned,128,1.020522
5090,1,random_pruned,256,1.014754
5090,1,random_pruned,512,1.011299
5090,1,random_pruned,1024,1.009125
5090,1,random_pruned,2048,1.007401
5090,1,random_pruned,4096,1.004868
5090,1,random_cond,1,2.319759
5090,1,random_cond,2,1.400677
5090,1,random_cond,4,1.213968
5090,1,random_cond,8,1.122317
5090,1,random_cond,16,1.095678
5090,1,random_cond,32,1.066554
5090,1,random_cond,64,1.040893
5090,1,random_cond,128,1.027244
5090,1,random_cond,256,1.020985
5090,1,random_cond,512,1.014046
5090,1,random_cond,1024,1.009951
5090,1,random_cond,2048,1.007699
5090,1,random_cond,4096,1.005091
5090,1,tpe,1,1.683205
5090,1,tpe,2,1.508720
5090,1,tpe,4,1.361639
5090,1,tpe,8,1.120948
5090,1,tpe,16,1.075273
5090,1,tpe,32,1.049173
5090,1,tpe,64,1.027345
5090,1,tpe,128,1.019013
5090,1,tpe,256,1.015821
5090,1,tpe,512,1.011990
5090,1,tpe,1024,1.009133
5090,1,our_rule,0,1.058478
5090,1,vendor,0,1.111096
5090,2,random,1,1.817605
5090,2,random,2,1.315217
5090,2,random,4,1.182258
5090,2,random,8,1.116255
5090,2,random,16,1.074318
5090,2,random,32,1.045845
5090,2,random,64,1.029255
5090,2,random,128,1.020393
5090,2,random,256,1.013279
5090,2,random,512,1.009132
5090,2,random,1024,1.005515
5090,2,random,2048,1.003788
5090,2,random,4096,1.002458
5090,2,random_pruned,1,1.433198
5090,2,random_pruned,2,1.277581
5090,2,random_pruned,4,1.173248
5090,2,random_pruned,8,1.109159
5090,2,random_pruned,16,1.065201
5090,2,random_pruned,32,1.039223
5090,2,random_pruned,64,1.023078
5090,2,random_pruned,128,1.014974
5090,2,random_pruned,256,1.010505
5090,2,random_pruned,512,1.006197
5090,2,random_pruned,1024,1.004248
5090,2,random_pruned,2048,1.001968
5090,2,random_pruned,4096,1.000802
5090,2,random_cond,1,2.799139
5090,2,random_cond,2,1.449794
5090,2,random_cond,4,1.203392
5090,2,random_cond,8,1.142924
5090,2,random_cond,16,1.102423
5090,2,random_cond,32,1.071834
5090,2,random_cond,64,1.039606
5090,2,random_cond,128,1.023361
5090,2,random_cond,256,1.017623
5090,2,random_cond,512,1.012471
5090,2,random_cond,1024,1.007982
5090,2,random_cond,2048,1.004324
5090,2,random_cond,4096,1.001272
5090,2,tpe,1,1.585191
5090,2,tpe,2,1.264419
5090,2,tpe,4,1.196715
5090,2,tpe,8,1.123207
5090,2,tpe,16,1.093623
5090,2,tpe,32,1.057242
5090,2,tpe,64,1.031065
5090,2,tpe,128,1.019923
5090,2,tpe,256,1.009149
5090,2,tpe,512,1.008502
5090,2,tpe,1024,1.007068
5090,2,our_rule,0,1.082873
5090,2,vendor,0,1.146374
5090,3,random,1,1.676607
5090,3,random,2,1.265578
5090,3,random,4,1.147647
5090,3,random,8,1.100453
5090,3,random,16,1.068002
5090,3,random,32,1.047588
5090,3,random,64,1.031807
5090,3,random,128,1.022376
5090,3,random,256,1.016854
5090,3,random,512,1.011450
5090,3,random,1024,1.007734
5090,3,random,2048,1.004303
5090,3,random,4096,1.002104
5090,3,random_pruned,1,1.348829
5090,3,random_pruned,2,1.210745
5090,3,random_pruned,4,1.144665
5090,3,random_pruned,8,1.089287
5090,3,random_pruned,16,1.062576
5090,3,random_pruned,32,1.040975
5090,3,random_pruned,64,1.027028
5090,3,random_pruned,128,1.019580
5090,3,random_pruned,256,1.013660
5090,3,random_pruned,512,1.010513
5090,3,random_pruned,1024,1.007327
5090,3,random_pruned,2048,1.004696
5090,3,random_pruned,4096,1.002172
5090,3,random_cond,1,1.856437
5090,3,random_cond,2,1.363214
5090,3,random_cond,4,1.178404
5090,3,random_cond,8,1.125192
5090,3,random_cond,16,1.088861
5090,3,random_cond,32,1.060605
5090,3,random_cond,64,1.045421
5090,3,random_cond,128,1.029740
5090,3,random_cond,256,1.019976
5090,3,random_cond,512,1.014445
5090,3,random_cond,1024,1.010418
5090,3,random_cond,2048,1.007205
5090,3,random_cond,4096,1.004798
5090,3,tpe,1,1.513392
5090,3,tpe,2,1.276703
5090,3,tpe,4,1.191309
5090,3,tpe,8,1.119887
5090,3,tpe,16,1.088126
5090,3,tpe,32,1.048223
5090,3,tpe,64,1.030659
5090,3,tpe,128,1.019455
5090,3,tpe,256,1.013092
5090,3,tpe,512,1.008760
5090,3,tpe,1024,1.007388
5090,3,our_rule,0,1.048846
5090,3,vendor,0,1.133664
5090,pooled,random,1,1.736998
5090,pooled,random,2,1.276881
5090,pooled,random,4,1.160666
5090,pooled,random,8,1.103184
5090,pooled,random,16,1.068630
5090,pooled,random,32,1.044374
5090,pooled,random,64,1.029020
5090,pooled,random,128,1.020725
5090,pooled,random,256,1.014809
5090,pooled,random,512,1.010821
5090,pooled,random,1024,1.007635
5090,pooled,random,2048,1.005107
5090,pooled,random,4096,1.003015
5090,pooled,random_pruned,1,1.368960
5090,pooled,random_pruned,2,1.230488
5090,pooled,random_pruned,4,1.151801
5090,pooled,random_pruned,8,1.095555
5090,pooled,random_pruned,16,1.062529
5090,pooled,random_pruned,32,1.039825
5090,pooled,random_pruned,64,1.025730
5090,pooled,random_pruned,128,1.017919
5090,pooled,random_pruned,256,1.012653
5090,pooled,random_pruned,512,1.009099
5090,pooled,random_pruned,1024,1.006793
5090,pooled,random_pruned,2048,1.004624
5090,pooled,random_pruned,4096,1.002695
5090,pooled,random_cond,1,2.395496
5090,pooled,random_cond,2,1.410766
5090,pooled,random_cond,4,1.189680
5090,pooled,random_cond,8,1.125605
5090,pooled,random_cond,16,1.090647
5090,pooled,random_cond,32,1.063089
5090,pooled,random_cond,64,1.041579
5090,pooled,random_cond,128,1.027390
5090,pooled,random_cond,256,1.020428
5090,pooled,random_cond,512,1.014360
5090,pooled,random_cond,1024,1.009526
5090,pooled,random_cond,2048,1.006533
5090,pooled,random_cond,4096,1.004354
5090,pooled,tpe,1,1.569235
5090,pooled,tpe,2,1.289342
5090,pooled,tpe,4,1.213513
5090,pooled,tpe,8,1.114139
5090,pooled,tpe,16,1.082969
5090,pooled,tpe,32,1.051310
5090,pooled,tpe,64,1.030414
5090,pooled,tpe,128,1.019884
5090,pooled,tpe,256,1.013463
5090,pooled,tpe,512,1.010047
5090,pooled,tpe,1024,1.007482
5090,pooled,our_rule,0,1.048446
5090,pooled,vendor,0,1.145956
4090,0,random,1,1.695029
4090,0,random,2,1.279366
4090,0,random,4,1.168523
4090,0,random,8,1.108414
4090,0,random,16,1.077560
4090,0,random,32,1.053524
4090,0,random,64,1.038851
4090,0,random,128,1.029254
4090,0,random,256,1.021111
4090,0,random,512,1.015933
4090,0,random,1024,1.010191
4090,0,random,2048,1.006914
4090,0,random,4096,1.003923
4090,0,random_pruned,1,1.404997
