gpu,fold,arm,k,regret
h100,0,random_cond,32,1.274630
h100,0,random_cond,64,1.160078
h100,0,random_cond,128,1.112193
h100,0,random_cond,256,1.072585
h100,0,random_cond,512,1.051228
h100,0,random_cond,1024,1.036692
h100,0,random_cond,2048,1.024994
h100,0,random_cond,4096,1.017435
h100,0,tpe,1,1.809591
h100,0,tpe,2,1.641781
h100,0,tpe,4,1.626704
h100,0,tpe,8,1.476409
h100,0,tpe,16,1.383283
h100,0,tpe,32,1.261768
h100,0,tpe,64,1.098949
h100,0,tpe,128,1.064859
h100,0,tpe,256,1.053859
h100,0,tpe,512,1.036229
h100,0,tpe,1024,1.027864
h100,0,our_rule,0,1.049450
h100,0,vendor,0,1.097242
h100,1,random,1,2.799507
h100,1,random,2,1.944062
h100,1,random,4,1.622242
h100,1,random,8,1.440529
h100,1,random,16,1.311357
h100,1,random,32,1.224204
h100,1,random,64,1.153281
h100,1,random,128,1.100428
h100,1,random,256,1.069000
h100,1,random,512,1.042280
h100,1,random,1024,1.021042
h100,1,random,2048,1.011206
h100,1,random,4096,1.006190
h100,1,random_pruned,1,2.223541
h100,1,random_pruned,2,1.831898
h100,1,random_pruned,4,1.643307
h100,1,random_pruned,8,1.460451
h100,1,random_pruned,16,1.305814
h100,1,random_pruned,32,1.218739
h100,1,random_pruned,64,1.157096
h100,1,random_pruned,128,1.103986
h100,1,random_pruned,256,1.061758
h100,1,random_pruned,512,1.036010
h100,1,random_pruned,1024,1.021235
h100,1,random_pruned,2048,1.010235
h100,1,random_pruned,4096,1.005305
h100,1,random_cond,1,3.630953
h100,1,random_cond,2,2.171727
h100,1,random_cond,4,1.699057
h100,1,random_cond,8,1.433388
h100,1,random_cond,16,1.290071
h100,1,random_cond,32,1.198693
h100,1,random_cond,64,1.127452
h100,1,random_cond,128,1.079448
h100,1,random_cond,256,1.042432
h100,1,random_cond,512,1.023472
h100,1,random_cond,1024,1.016668
h100,1,random_cond,2048,1.010293
h100,1,random_cond,4096,1.005518
h100,1,tpe,1,1.991387
h100,1,tpe,2,1.868117
h100,1,tpe,4,1.472115
h100,1,tpe,8,1.317849
h100,1,tpe,16,1.236805
h100,1,tpe,32,1.126456
h100,1,tpe,64,1.060327
h100,1,tpe,128,1.034002
h100,1,tpe,256,1.027775
h100,1,tpe,512,1.013720
h100,1,tpe,1024,1.008081
h100,1,our_rule,0,1.083022
h100,1,vendor,0,1.121705
h100,2,random,1,2.962352
h100,2,random,2,2.061015
h100,2,random,4,1.700399
h100,2,random,8,1.505956
h100,2,random,16,1.352404
h100,2,random,32,1.270215
h100,2,random,64,1.189509
h100,2,random,128,1.129454
h100,2,random,256,1.083085
h100,2,random,512,1.053653
h100,2,random,1024,1.029178
h100,2,random,2048,1.015929
h100,2,random,4096,1.008362
h100,2,random_pruned,1,2.439140
h100,2,random_pruned,2,1.933210
h100,2,random_pruned,4,1.669358
h100,2,random_pruned,8,1.497648
h100,2,random_pruned,16,1.370861
h100,2,random_pruned,32,1.256995
h100,2,random_pruned,64,1.170713
h100,2,random_pruned,128,1.123244
h100,2,random_pruned,256,1.081382
h100,2,random_pruned,512,1.047896
h100,2,random_pruned,1024,1.025761
h100,2,random_pruned,2048,1.015296
h100,2,random_pruned,4096,1.008250
h100,2,random_cond,1,3.401364
h100,2,random_cond,2,2.082979
h100,2,random_cond,4,1.659728
h100,2,random_cond,8,1.422381
h100,2,random_cond,16,1.310896
h100,2,random_cond,32,1.222565
h100,2,random_cond,64,1.150031
h100,2,random_cond,128,1.088946
h100,2,random_cond,256,1.049080
h100,2,random_cond,512,1.029332
h100,2,random_cond,1024,1.017888
h100,2,random_cond,2048,1.010596
h100,2,random_cond,4096,1.006874
h100,2,tpe,1,2.053619
h100,2,tpe,2,1.756066
h100,2,tpe,4,1.662781
h100,2,tpe,8,1.496210
h100,2,tpe,16,1.358692
h100,2,tpe,32,1.242641
h100,2,tpe,64,1.126885
h100,2,tpe,128,1.067919
h100,2,tpe,256,1.038506
h100,2,tpe,512,1.020323
h100,2,tpe,1024,1.010702
h100,2,our_rule,0,1.048741
h100,2,vendor,0,1.136977
h100,3,random,1,2.895163
h100,3,random,2,1.950740
h100,3,random,4,1.671796
h100,3,random,8,1.504176
h100,3,random,16,1.359482
h100,3,random,32,1.269516
h100,3,random,64,1.195947
h100,3,random,128,1.134132
h100,3,random,256,1.093711
h100,3,random,512,1.057902
h100,3,random,1024,1.034855
h100,3,random,2048,1.019507
h100,3,random,4096,1.009598
h100,3,random_pruned,1,2.224360
h100,3,random_pruned,2,1.894638
h100,3,random_pruned,4,1.647371
h100,3,random_pruned,8,1.479785
h100,3,random_pruned,16,1.355967
h100,3,random_pruned,32,1.268649
h100,3,random_pruned,64,1.179405
h100,3,random_pruned,128,1.133011
h100,3,random_pruned,256,1.090715
h100,3,random_pruned,512,1.051317
h100,3,random_pruned,1024,1.030193
h100,3,random_pruned,2048,1.016794
h100,3,random_pruned,4096,1.007970
h100,3,random_cond,1,2.779536
h100,3,random_cond,2,2.182041
h100,3,random_cond,4,1.755667
h100,3,random_cond,8,1.505684
h100,3,random_cond,16,1.337417
h100,3,random_cond,32,1.244511
h100,3,random_cond,64,1.134370
h100,3,random_cond,128,1.097222
h100,3,random_cond,256,1.050605
h100,3,random_cond,512,1.032030
h100,3,random_cond,1024,1.024955
h100,3,random_cond,2048,1.016117
h100,3,random_cond,4096,1.009452
h100,3,tpe,1,1.923424
h100,3,tpe,2,1.782359
h100,3,tpe,4,1.616042
h100,3,tpe,8,1.454710
h100,3,tpe,16,1.320389
h100,3,tpe,32,1.211405
h100,3,tpe,64,1.078889
h100,3,tpe,128,1.050833
h100,3,tpe,256,1.037483
h100,3,tpe,512,1.025516
h100,3,tpe,1024,1.016566
h100,3,our_rule,0,1.039139
h100,3,vendor,0,1.127839
h100,pooled,random,1,2.818668
h100,pooled,random,2,1.967794
h100,pooled,random,4,1.657125
h100,pooled,random,8,1.476915
h100,pooled,random,16,1.340122
h100,pooled,random,32,1.255520
h100,pooled,random,64,1.180103
h100,pooled,random,128,1.122506
h100,pooled,random,256,1.082198
h100,pooled,random,512,1.052300
h100,pooled,random,1024,1.029127
h100,pooled,random,2048,1.016104
h100,pooled,random,4096,1.008732
h100,pooled,random_pruned,1,2.235362
h100,pooled,random_pruned,2,1.859639
h100,pooled,random_pruned,4,1.634962
h100,pooled,random_pruned,8,1.467908
h100,pooled,random_pruned,16,1.339625
h100,pooled,random_pruned,32,1.248982
h100,pooled,random_pruned,64,1.172198
h100,pooled,random_pruned,128,1.119611
h100,pooled,random_pruned,256,1.078258
h100,pooled,random_pruned,512,1.045784
h100,pooled,random_pruned,1024,1.026532
h100,pooled,random_pruned,2048,1.014645
h100,pooled,random_pruned,4096,1.007850
h100,pooled,random_cond,1,3.230161
h100,pooled,random_cond,2,2.091706
h100,pooled,random_cond,4,1.690225
h100,pooled,random_cond,8,1.470548
h100,pooled,random_cond,16,1.328076
h100,pooled,random_cond,32,1.234629
h100,pooled,random_cond,64,1.143047
h100,pooled,random_cond,128,1.094342
h100,pooled,random_cond,256,1.053663
h100,pooled,random_cond,512,1.033994
h100,pooled,random_cond,1024,1.024005
h100,pooled,random_cond,2048,1.015472
h100,pooled,random_cond,4096,1.009815
h100,pooled,tpe,1,1.942676
h100,pooled,tpe,2,1.759858
h100,pooled,tpe,4,1.592334
h100,pooled,tpe,8,1.434215
h100,pooled,tpe,16,1.323657
h100,pooled,tpe,32,1.209403
h100,pooled,tpe,64,1.091177
h100,pooled,tpe,128,1.054373
h100,pooled,tpe,256,1.039394
h100,pooled,tpe,512,1.023889
h100,pooled,tpe,1024,1.015762
h100,pooled,our_rule,0,1.050343
h100,pooled,vendor,0,1.120733
